Province/territory,Region,"30-day readmission for mood disorders, risk-adjusted rate (per 100), 2019–2020","95% confidence interval,
2019–2020"
Quebec,Laval Region,14.9,(10.8–20.1)
Quebec,Lanaudière Region,10.8,(7.9–14.5)
Quebec,Laurentides Region,6.2,(4.2–8.8)*
Quebec,Montérégie Region,10.9,(9.1–13.0)
Quebec,Nunavik Region,—,—
Quebec,Terres-Cries-de-la-Baie-James Region,—,—
Quebec,Total,11.6,(10.9–12.4)
Ontario,Erie St. Clair LHIN,10.3,(8.5–12.4)
Ontario,South West LHIN,11.5,(9.8–13.4)
Ontario,Waterloo Wellington LHIN,8.5,(6.7–10.5)*
Ontario,Hamilton Niagara Haldimand Brant LHIN,13.1,(11.7–14.7)*
Ontario,Central West LHIN,12.2,(10.2–14.4)
Ontario,Mississauga Halton LHIN,11.2,(9.4–13.2)
Ontario,Toronto Central LHIN,12.8,(11.3–14.5)*
Ontario,Central LHIN,11.3,(9.9–12.9)
Ontario,Central East LHIN,13.3,(11.9–14.8)*
Ontario,South East LHIN,11.4,(8.7–14.6)
Ontario,Champlain LHIN,12.6,(10.9–14.5)
Ontario,North Simcoe Muskoka LHIN,11.5,(9.6–13.7)
Ontario,North East LHIN,12.3,(10.9–14.0)
Ontario,North West LHIN,12.4,(9.5–16.0)
Ontario,Total,12,(11.5–12.5)*
Manitoba,Winnipeg Regional Health Authority,9.8,(7.6–12.4)
Manitoba,Prairie Mountain Health,7.4,(4.2–12.1)
Manitoba,Interlake–Eastern Regional Health Authority,4.8,(1.3–12.4)
Manitoba,Northern Health Region,12,(6.0–21.5)
Manitoba,Southern Health — Santé Sud,8.6,(2.8–20.2)
Manitoba,Total,9.3,(7.7–11.2)
Saskatchewan,Sun Country Health Region,8.6,(3.7–17.0)
Saskatchewan,Five Hills Health Region,10,(3.6–21.7)
Saskatchewan,Cypress Health Region,6.6,(1.8–17.0)
Saskatchewan,Regina Qu’Appelle Health Region,9.3,(6.6–12.8)
Saskatchewan,Sunrise Health Region,12.7,(6.4–22.8)
Saskatchewan,Saskatoon Health Region,9.5,(7.0–12.6)
Saskatchewan,Heartland Health Region,13.4,(6.1–25.4)
Saskatchewan,Kelsey Trail Health Region,15.3,(6.1–31.5)
Saskatchewan,Prince Albert Parkland Health Region,6,(2.2–13.1)
Saskatchewan,Prairie North Health Region,10.3,(5.1–18.5)
Saskatchewan,Mamawetan Churchill River Health Region,—,—
Saskatchewan,Keewatin Yatthé Health Region,—,—
Saskatchewan,Athabasca Health Authority,—,—
Saskatchewan,Total,9.6,(8.2–11.3)
Alberta,South Zone,5.2,(3.4–7.7)*
Alberta,Calgary Zone,8.5,(7.0–10.3)*
Alberta,Central Zone,9.4,(7.5–11.8)
Alberta,Edmonton Zone,8.1,(6.5–10.0)*
Alberta,North Zone,10.5,(8.1–13.5)
Alberta,Total,8.5,(7.7–9.4)*
British Columbia,East Kootenay HSDA,15.5,(8.7–25.6)
British Columbia,Kootenay–Boundary HSDA,10.1,(5.2–17.6)
British Columbia,Okanagan HSDA,10.1,(8.0–12.5)
British Columbia,Thompson/Cariboo HSDA,10,(7.2–13.5)
British Columbia,Fraser East HSDA,12,(9.3–15.2)
British Columbia,Fraser North HSDA,11.8,(9.6–14.3)
British Columbia,Fraser South HSDA,9.4,(7.4–11.8)
British Columbia,Richmond HSDA,12.3,(7.4–19.1)
British Columbia,Vancouver HSDA,12.6,(10.2–15.3)
British Columbia,North Shore/Coast Garibaldi HSDA,11.2,(8.4–14.6)
British Columbia,South Vancouver Island HSDA,9.3,(6.7–12.7)
British Columbia,Central Vancouver Island HSDA,15.1,(12.0–18.8)*
British Columbia,North Vancouver Island HSDA,12.4,(6.8–20.8)
British Columbia,Northwest HSDA,10,(5.6–16.5)
British Columbia,Northern Interior HSDA,9.5,(6.7–13.2)
British Columbia,Northeast HSDA,10.9,(6.0–18.3)
British Columbia,Total,11.3,(10.5–12.1)
Yukon,Yukon,8.6,(4.3–15.3)
Yukon,Total,8.6,(4.3–15.3)
Northwest Territories,Northwest Territories,8.9,(4.1–16.9)
Northwest Territories,Total,8.9,(4.1–16.9)
Nunavut,Nunavut,—,—
Nunavut,Total,—,—
Canada,Total,11.2,n/a
