REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788292,1.2.2.4.1,55700,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788292,1.2.2.4.1,43000,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788292,1.2.2.4.1,43200,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788299,1.2.2.5.1,99300,,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788299,1.2.2.5.1,91800,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788299,1.2.2.5.1,93400,,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788299,1.2.2.5.1,105100,,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788299,1.2.2.5.1,111400,,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788299,1.2.2.5.1,102300,,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,Mood disorder,Number of persons,Number,223,units,0,v110788362,1.2.2.14.1,62600,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,Mood disorder,Number of persons,Number,223,units,0,v110788362,1.2.2.14.1,36600,E,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,Mood disorder,Number of persons,Number,223,units,0,v110788362,1.2.2.14.1,31200,E,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,Mood disorder,Number of persons,Number,223,units,0,v110788362,1.2.2.14.1,38800,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,Mood disorder,Number of persons,Number,223,units,0,v110788362,1.2.2.14.1,35400,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,Mood disorder,Number of persons,Number,223,units,0,v110788362,1.2.2.14.1,41800,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788369,1.2.2.15.1,49200,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788369,1.2.2.15.1,45200,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788369,1.2.2.15.1,30900,E,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788369,1.2.2.15.1,37700,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788369,1.2.2.15.1,29000,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788369,1.2.2.15.1,27800,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily",Number of persons,Number,223,units,0,v110788376,1.2.2.16.1,22100,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily",Number of persons,Number,223,units,0,v110788376,1.2.2.16.1,22800,E,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily",Number of persons,Number,223,units,0,v110788376,1.2.2.16.1,12100,E,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily",Number of persons,Number,223,units,0,v110788376,1.2.2.16.1,7600,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily",Number of persons,Number,223,units,0,v110788376,1.2.2.16.1,5800,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Current smoker, daily",Number of persons,Number,223,units,0,v110788376,1.2.2.16.1,,F,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,Heavy drinking,Number of persons,Number,223,units,0,v110788383,1.2.2.17.1,52000,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,Heavy drinking,Number of persons,Number,223,units,0,v110788383,1.2.2.17.1,42200,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,Heavy drinking,Number of persons,Number,223,units,0,v110788383,1.2.2.17.1,45500,,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,Heavy drinking,Number of persons,Number,223,units,0,v110788383,1.2.2.17.1,33300,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,Heavy drinking,Number of persons,Number,223,units,0,v110788383,1.2.2.17.1,35400,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,Heavy drinking,Number of persons,Number,223,units,0,v110788383,1.2.2.17.1,43500,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788425,1.2.2.23.1,885300,,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788425,1.2.2.23.1,933500,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788425,1.2.2.23.1,901300,,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788425,1.2.2.23.1,912700,,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788425,1.2.2.23.1,954100,,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788425,1.2.2.23.1,983700,,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788432,1.2.2.24.1,1057900,,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788432,1.2.2.24.1,1070200,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788432,1.2.2.24.1,1061500,,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788432,1.2.2.24.1,1080800,,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788432,1.2.2.24.1,1104000,,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788432,1.2.2.24.1,1120100,,,,0
2015,Canada (excluding territories),,12 to 17 years,Males,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788446,1.2.2.26.1,628500,,,,0
2016,Canada (excluding territories),,12 to 17 years,Males,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788446,1.2.2.26.1,635400,,,,0
2017,Canada (excluding territories),,12 to 17 years,Males,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788446,1.2.2.26.1,,..,,,0
2018,Canada (excluding territories),,12 to 17 years,Males,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788446,1.2.2.26.1,,..,,,0
2019,Canada (excluding territories),,12 to 17 years,Males,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788446,1.2.2.26.1,,..,,,0
2020,Canada (excluding territories),,12 to 17 years,Males,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788446,1.2.2.26.1,,..,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788453,1.2.3.1.1,813500,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788453,1.2.3.1.1,836400,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788453,1.2.3.1.1,823300,,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788453,1.2.3.1.1,813200,,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788453,1.2.3.1.1,825200,,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788453,1.2.3.1.1,862700,,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788460,1.2.3.2.1,25800,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788460,1.2.3.2.1,34000,E,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788460,1.2.3.2.1,36100,E,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788460,1.2.3.2.1,42800,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788460,1.2.3.2.1,49100,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788460,1.2.3.2.1,45200,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788467,1.2.3.3.1,795500,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788467,1.2.3.3.1,789200,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788467,1.2.3.3.1,752900,,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788467,1.2.3.3.1,728400,,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788467,1.2.3.3.1,710800,,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788467,1.2.3.3.1,694200,,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788474,1.2.3.4.1,58000,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788474,1.2.3.4.1,62500,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788474,1.2.3.4.1,81600,,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788474,1.2.3.4.1,88900,,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788474,1.2.3.4.1,89100,,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788474,1.2.3.4.1,147000,,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788481,1.2.3.5.1,170700,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788481,1.2.3.5.1,188400,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788481,1.2.3.5.1,164200,,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788481,1.2.3.5.1,204100,,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788481,1.2.3.5.1,202800,,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788481,1.2.3.5.1,187300,,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,Mood disorder,Number of persons,Number,223,units,0,v110788544,1.2.3.14.1,55600,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,Mood disorder,Number of persons,Number,223,units,0,v110788544,1.2.3.14.1,65700,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,Mood disorder,Number of persons,Number,223,units,0,v110788544,1.2.3.14.1,69000,,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,Mood disorder,Number of persons,Number,223,units,0,v110788544,1.2.3.14.1,62900,,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,Mood disorder,Number of persons,Number,223,units,0,v110788544,1.2.3.14.1,76200,,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,Mood disorder,Number of persons,Number,223,units,0,v110788544,1.2.3.14.1,60300,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788551,1.2.3.15.1,43000,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788551,1.2.3.15.1,36100,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788551,1.2.3.15.1,46300,E,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788551,1.2.3.15.1,33100,,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788551,1.2.3.15.1,27900,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily or occasional",Number of persons,Number,223,units,0,v110788551,1.2.3.15.1,15300,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily",Number of persons,Number,223,units,0,v110788558,1.2.3.16.1,14900,E,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily",Number of persons,Number,223,units,0,v110788558,1.2.3.16.1,15900,E,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily",Number of persons,Number,223,units,0,v110788558,1.2.3.16.1,13100,E,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily",Number of persons,Number,223,units,0,v110788558,1.2.3.16.1,11700,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily",Number of persons,Number,223,units,0,v110788558,1.2.3.16.1,,F,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Current smoker, daily",Number of persons,Number,223,units,0,v110788558,1.2.3.16.1,,F,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,Heavy drinking,Number of persons,Number,223,units,0,v110788565,1.2.3.17.1,38700,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,Heavy drinking,Number of persons,Number,223,units,0,v110788565,1.2.3.17.1,45700,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,Heavy drinking,Number of persons,Number,223,units,0,v110788565,1.2.3.17.1,48700,E,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,Heavy drinking,Number of persons,Number,223,units,0,v110788565,1.2.3.17.1,43800,E,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,Heavy drinking,Number of persons,Number,223,units,0,v110788565,1.2.3.17.1,26700,E,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,Heavy drinking,Number of persons,Number,223,units,0,v110788565,1.2.3.17.1,23000,E,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788607,1.2.3.23.1,876200,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788607,1.2.3.23.1,866400,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788607,1.2.3.23.1,883100,,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788607,1.2.3.23.1,896900,,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788607,1.2.3.23.1,914100,,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v110788607,1.2.3.23.1,940300,,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788614,1.2.3.24.1,1020300,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788614,1.2.3.24.1,1016100,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788614,1.2.3.24.1,1014100,,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788614,1.2.3.24.1,1019700,,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788614,1.2.3.24.1,1040900,,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v110788614,1.2.3.24.1,1096800,,,,0
2015,Canada (excluding territories),,12 to 17 years,Females,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788628,1.2.3.26.1,638300,,,,0
2016,Canada (excluding territories),,12 to 17 years,Females,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788628,1.2.3.26.1,639000,,,,0
2017,Canada (excluding territories),,12 to 17 years,Females,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788628,1.2.3.26.1,,..,,,0
2018,Canada (excluding territories),,12 to 17 years,Females,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788628,1.2.3.26.1,,..,,,0
2019,Canada (excluding territories),,12 to 17 years,Females,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788628,1.2.3.26.1,,..,,,0
2020,Canada (excluding territories),,12 to 17 years,Females,Contact with a medical doctor in the past 12 months,Number of persons,Number,223,units,0,v110788628,1.2.3.26.1,,..,,,0
2015,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788817,1.3.2.1.1,2907400,,,,0
2016,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788817,1.3.2.1.1,2861700,,,,0
2017,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788817,1.3.2.1.1,2972200,,,,0
2018,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788817,1.3.2.1.1,2858900,,,,0
2019,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788817,1.3.2.1.1,2906100,,,,0
2020,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, very good or excellent",Number of persons,Number,223,units,0,v110788817,1.3.2.1.1,3031400,,,,0
2015,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788824,1.3.2.2.1,238500,,,,0
2016,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788824,1.3.2.2.1,234800,,,,0
2017,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788824,1.3.2.2.1,245000,,,,0
2018,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788824,1.3.2.2.1,283400,,,,0
2019,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788824,1.3.2.2.1,278800,,,,0
2020,Canada (excluding territories),,18 to 34 years,Males,"Perceived health, fair or poor",Number of persons,Number,223,units,0,v110788824,1.3.2.2.1,283400,,,,0
2015,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788831,1.3.2.3.1,3015200,,,,0
2016,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788831,1.3.2.3.1,2894900,,,,0
2017,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788831,1.3.2.3.1,2944200,,,,0
2018,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788831,1.3.2.3.1,2792000,,,,0
2019,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788831,1.3.2.3.1,2692800,,,,0
2020,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v110788831,1.3.2.3.1,2684200,,,,0
2015,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788838,1.3.2.4.1,203100,,,,0
2016,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788838,1.3.2.4.1,266700,,,,0
2017,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788838,1.3.2.4.1,264800,,,,0
2018,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788838,1.3.2.4.1,311800,,,,0
2019,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788838,1.3.2.4.1,435100,,,,0
2020,Canada (excluding territories),,18 to 34 years,Males,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v110788838,1.3.2.4.1,464600,,,,0
2015,Canada (excluding territories),,18 to 34 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788845,1.3.2.5.1,825400,,,,0
2016,Canada (excluding territories),,18 to 34 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788845,1.3.2.5.1,775000,,,,0
2017,Canada (excluding territories),,18 to 34 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788845,1.3.2.5.1,876600,,,,0
2018,Canada (excluding territories),,18 to 34 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788845,1.3.2.5.1,848600,,,,0
2019,Canada (excluding territories),,18 to 34 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788845,1.3.2.5.1,827400,,,,0
2020,Canada (excluding territories),,18 to 34 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v110788845,1.3.2.5.1,906400,,,,0
2015,Canada (excluding territories),,18 to 34 years,Males,Mood disorder,Number of persons,Number,223,units,0,v110788908,1.3.2.14.1,221200,,,,0
