Id,When,Cal,Alberta,Canada,BritishColumbia,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
215485,9/1/1985 12:00:00 AM,"Slaughter, cattle",65.15,,61.06,67.95,60.19,64.16,64.16,71.3,63.48,45.91,66.12,9/8/2021 10:08:45 AM
215486,9/1/1985 12:00:00 AM,Hogs,66.3,,70.31,61.57,66.19,,66.41,66.9,65.61,65.06,65.96,9/8/2021 10:08:45 AM
215487,10/1/1985 12:00:00 AM,"Slaughter, calves",81.98,,75.81,89.51,71.19,69.9,69.9,79.6,74.97,81.98,80.28,9/8/2021 10:08:45 AM
215488,10/1/1985 12:00:00 AM,"Slaughter, cattle",67.02,,62.17,69.3,62.41,64.96,64.96,77,63.57,45.22,68.41,9/8/2021 10:08:45 AM
215489,10/1/1985 12:00:00 AM,Hogs,70.77,,73.35,65.24,69.22,,69.29,70.32,69.42,68.67,68.27,9/8/2021 10:08:45 AM
215490,11/1/1985 12:00:00 AM,"Slaughter, calves",81.52,,77.81,89.25,73.1,70.43,70.43,82.3,75.81,86.23,79.51,9/8/2021 10:08:45 AM
215491,11/1/1985 12:00:00 AM,"Slaughter, cattle",69.35,,63.16,69.02,56.06,64.35,64.35,79,64.02,50.27,70.66,9/8/2021 10:08:45 AM
215492,11/1/1985 12:00:00 AM,Hogs,69.1,,72.66,64.12,71.47,,71.54,72.81,71.83,71.2,67.83,9/8/2021 10:08:45 AM
215493,12/1/1985 12:00:00 AM,"Slaughter, calves",81.07,,80.6,89.33,69.78,67.92,67.92,85.2,73.95,82.77,82.62,9/8/2021 10:08:45 AM
215494,12/1/1985 12:00:00 AM,"Slaughter, cattle",70.19,,60.6,71.3,55.85,67.14,67.14,81.2,59.91,46.91,70.19,9/8/2021 10:08:45 AM
215495,12/1/1985 12:00:00 AM,Hogs,72.29,,76.08,67.22,73.54,,73.82,74.16,72.76,72.3,70.83,9/8/2021 10:08:45 AM
215496,1/1/1986 12:00:00 AM,"Slaughter, calves",78.86,,79.1,87.98,78.11,81.2,81.2,83.5,75.56,89.2,81.34,9/8/2021 10:08:45 AM
215497,1/1/1986 12:00:00 AM,"Slaughter, cattle",69.21,,60.72,70.62,58.31,60.64,67.91,81.4,67,47.94,67.36,9/8/2021 10:08:45 AM
215498,1/1/1986 12:00:00 AM,Hogs,77.55,,74.37,67.88,71.62,84.14,71.75,71.94,71.69,70.19,69.09,9/8/2021 10:08:45 AM
215499,2/1/1986 12:00:00 AM,"Slaughter, calves",80.66,,81.9,90.48,87.26,86.28,86.28,86.4,82.32,86.35,82.51,9/8/2021 10:08:45 AM
215500,2/1/1986 12:00:00 AM,"Slaughter, cattle",67.93,,63.21,69.03,62.24,59.58,67.78,79.3,67.48,46.82,71.51,9/8/2021 10:08:45 AM
215501,2/1/1986 12:00:00 AM,Hogs,71.6,,75.07,69.7,72.73,84.37,72.83,72.8,72.39,71.18,70.23,9/8/2021 10:08:45 AM
215502,3/1/1986 12:00:00 AM,"Slaughter, calves",82.21,,82.56,91.92,83.17,85.42,85.42,84.6,78.75,94.68,84.12,9/8/2021 10:08:45 AM
215503,3/1/1986 12:00:00 AM,"Slaughter, cattle",68.96,,64.45,69.82,64.73,57.91,70.71,77.8,65.98,46.75,70.9,9/8/2021 10:08:45 AM
215504,3/1/1986 12:00:00 AM,Hogs,67.19,,70.66,65.06,69.41,81.87,69.43,68.65,67.92,66.91,65.85,9/8/2021 10:08:45 AM
215505,4/1/1986 12:00:00 AM,"Slaughter, calves",84.21,,84.31,89.27,76.88,76.24,76.24,86.3,79.41,85.53,84.57,9/8/2021 10:08:45 AM
215506,4/1/1986 12:00:00 AM,"Slaughter, cattle",66.53,,62.67,69.76,59.43,62.38,68.75,75.3,64.1,44.62,69.48,9/8/2021 10:08:45 AM
215507,4/1/1986 12:00:00 AM,Hogs,64.62,,68.01,63.2,64.78,64.62,65.32,65.93,65.15,64.39,64.38,9/8/2021 10:08:45 AM
215508,5/1/1986 12:00:00 AM,"Slaughter, calves",84.5,,84.5,90,82,82,82,86.5,88,80.9,84.75,9/8/2021 10:08:45 AM
215509,5/1/1986 12:00:00 AM,"Slaughter, cattle",67.46,,63.55,70.39,61.5,62.38,70.5,77.4,64.1,49.07,70.38,9/8/2021 10:08:45 AM
215510,5/1/1986 12:00:00 AM,Hogs,69.64,,72.79,69.66,69.72,62.54,70.1,72.49,72.03,70.76,69.42,9/8/2021 10:08:45 AM
215511,6/1/1986 12:00:00 AM,"Slaughter, calves",80.71,,85.48,88.96,89.73,77.1,77.1,86.4,80.64,77.67,89.69,9/8/2021 10:08:45 AM
215512,6/1/1986 12:00:00 AM,"Slaughter, cattle",66.1,,62.44,67.98,64.78,61.88,67.35,75.9,64.12,54.25,70.06,9/8/2021 10:08:45 AM
215513,6/1/1986 12:00:00 AM,Hogs,77.16,,83.22,77.77,80.68,82.83,79.06,84.19,84.07,82.52,78.62,9/8/2021 10:08:45 AM
215514,7/1/1986 12:00:00 AM,"Slaughter, calves",84.24,,84.47,92.29,86.51,79.33,79.33,86.2,87.96,103.24,87.46,9/8/2021 10:08:45 AM
215515,7/1/1986 12:00:00 AM,"Slaughter, cattle",68.37,,63.24,71.46,66.64,66.32,70.1,75.9,67.96,50.66,72.16,9/8/2021 10:08:45 AM
215516,7/1/1986 12:00:00 AM,Hogs,90.3,,96.51,92.21,93.29,93.49,91.75,95.43,95.1,93.7,93.03,9/8/2021 10:08:45 AM
215517,8/1/1986 12:00:00 AM,"Slaughter, calves",90.62,,87.14,94.95,83.22,79.84,79.84,84.2,82.61,84.47,87.48,9/8/2021 10:08:45 AM
215518,8/1/1986 12:00:00 AM,"Slaughter, cattle",72.06,,63.02,76.42,62.78,65.84,70.03,79,66.73,52.91,72.03,9/8/2021 10:08:45 AM
215519,8/1/1986 12:00:00 AM,Hogs,99.03,,104.52,98.73,99.56,97.81,98.83,102.36,102.46,100.69,101.23,9/8/2021 10:08:45 AM
215520,9/1/1986 12:00:00 AM,"Slaughter, calves",94.74,,92.84,96.31,87.21,81.36,81.36,86.3,80.67,96.81,90.86,9/8/2021 10:08:45 AM
215521,9/1/1986 12:00:00 AM,"Slaughter, cattle",73.73,,68.51,75.49,69.83,60.84,68.33,79.6,70.19,51.92,73.09,9/8/2021 10:08:45 AM
215522,9/1/1986 12:00:00 AM,Hogs,98.93,,101.95,98.81,100.54,96.22,102.16,98.82,97.63,97.22,98.52,9/8/2021 10:08:45 AM
215523,10/1/1986 12:00:00 AM,"Slaughter, calves",95.94,,90.53,98.08,88.12,79.03,79.03,86,82.54,86.88,90.32,9/8/2021 10:08:45 AM
215524,10/1/1986 12:00:00 AM,"Slaughter, cattle",74.58,,70.29,78.15,65.92,60.57,72.45,80.8,68.52,49.41,74.65,9/8/2021 10:08:45 AM
215525,10/1/1986 12:00:00 AM,Hogs,88.79,,92.54,90.81,90.62,88.03,93.53,90.11,88.99,88.4,89.53,9/8/2021 10:08:45 AM
215526,11/1/1986 12:00:00 AM,"Slaughter, calves",94.83,,90.18,97.28,88.06,77,77,86.9,80.83,83.94,89.88,9/8/2021 10:08:45 AM
215527,11/1/1986 12:00:00 AM,"Slaughter, cattle",74.79,,68.67,76.02,63.95,77.9,71.07,85.5,68.65,51.86,74.36,9/8/2021 10:08:45 AM
215528,11/1/1986 12:00:00 AM,Hogs,89.22,,93.62,92.85,90.98,91.33,91.36,92.85,91.71,90.8,89.69,9/8/2021 10:08:45 AM
215529,12/1/1986 12:00:00 AM,"Slaughter, calves",93.26,,89.77,100.56,88.88,75.3,75.3,89,82.47,88.68,91.29,9/8/2021 10:08:45 AM
215530,12/1/1986 12:00:00 AM,"Slaughter, cattle",73.74,,70.06,75.87,66.61,55.14,68.98,83.8,68.95,52.86,73.97,9/8/2021 10:08:45 AM
215531,12/1/1986 12:00:00 AM,Hogs,84.42,,88.9,86.59,89.37,84.66,92.14,86.6,85.84,85.81,85.09,9/8/2021 10:08:45 AM
215532,1/1/1987 12:00:00 AM,"Slaughter, calves",95.58,,93.25,99.82,87.06,82.81,82.81,86,82.38,84.41,92.47,9/8/2021 10:08:45 AM
215533,1/1/1987 12:00:00 AM,"Slaughter, cattle",73.9,,69.54,76.97,63.76,63.12,72.9,79.5,68.07,51.36,74.17,9/8/2021 10:08:45 AM
215534,1/1/1987 12:00:00 AM,Hogs,71.89,,76.3,76.23,73.41,74.82,73.77,74.71,71.17,72.38,72.47,9/8/2021 10:08:45 AM
215535,2/1/1987 12:00:00 AM,"Slaughter, calves",97.27,,94.44,97.55,85.61,80.91,80.91,89.1,81.12,90.31,91.88,9/8/2021 10:08:45 AM
215536,2/1/1987 12:00:00 AM,"Slaughter, cattle",73.39,,67.09,75.88,63.31,61.35,67.85,78.6,72.32,55.45,74.61,9/8/2021 10:08:45 AM
215537,2/1/1987 12:00:00 AM,Hogs,73.72,,76.96,77.82,73.69,76.15,73.16,76.06,72.06,73.8,73.58,9/8/2021 10:08:45 AM
215538,3/1/1987 12:00:00 AM,"Slaughter, calves",97.08,,97.22,97.01,77.62,78.38,78.38,84.2,80.73,86.07,92.9,9/8/2021 10:08:45 AM
215539,3/1/1987 12:00:00 AM,"Slaughter, cattle",74.69,,70.38,73.78,63.85,63.67,69.61,81.2,71.85,51.06,75.43,9/8/2021 10:08:45 AM
215540,3/1/1987 12:00:00 AM,Hogs,69.96,,73.48,71.71,72.84,70.95,73.4,72.13,70.87,70.06,70.22,9/8/2021 10:08:45 AM
215541,4/1/1987 12:00:00 AM,"Slaughter, calves",102.69,,97.07,97.15,81.96,78.31,78.31,90.6,81.12,89.75,95.67,9/8/2021 10:08:45 AM
215542,4/1/1987 12:00:00 AM,"Slaughter, cattle",76.62,,73.03,78.72,65.18,68.57,70.61,81.1,71.67,52.62,78.23,9/8/2021 10:08:45 AM
215543,4/1/1987 12:00:00 AM,Hogs,72.9,,76.28,73.25,74.39,73.87,73.38,76.16,74.51,74.49,72.91,9/8/2021 10:08:45 AM
215544,5/1/1987 12:00:00 AM,"Slaughter, calves",99.74,,97.25,100.36,87.5,83.58,83.58,94.2,88.9,104.53,91.91,9/8/2021 10:08:45 AM
215545,5/1/1987 12:00:00 AM,"Slaughter, cattle",78.67,,75.33,81.7,65.23,62.93,74.24,86.2,72.72,56.86,77.57,9/8/2021 10:08:45 AM
215546,5/1/1987 12:00:00 AM,Hogs,84.19,,87.3,84.49,84.4,83.44,81.05,87.5,86,85.58,83.81,9/8/2021 10:08:45 AM
215547,6/1/1987 12:00:00 AM,"Slaughter, calves",98.41,,95.53,98.6,88.05,86.42,86.42,98.7,92.73,106.98,97.62,9/8/2021 10:08:45 AM
215548,6/1/1987 12:00:00 AM,"Slaughter, cattle",78.22,,72.9,77.24,66.11,84.57,73.96,90,76.67,60.73,80.45,9/8/2021 10:08:45 AM
215549,6/1/1987 12:00:00 AM,Hogs,92.63,,95.78,91.23,94.64,93.77,91.7,95.87,93.91,93.5,91.61,9/8/2021 10:08:45 AM
215550,7/1/1987 12:00:00 AM,"Slaughter, calves",98.94,,89.68,101.6,88.44,86.69,86.69,105,91.91,109.94,97.41,9/8/2021 10:08:45 AM
215551,7/1/1987 12:00:00 AM,"Slaughter, cattle",79.24,,71.93,80.83,69.11,76.96,75.13,85.9,78.96,62.64,79.59,9/8/2021 10:08:45 AM
215552,7/1/1987 12:00:00 AM,Hogs,91.9,,94.33,92.74,94.82,93.08,95.1,95.06,93.22,92.58,90.79,9/8/2021 10:08:45 AM
215553,8/1/1987 12:00:00 AM,"Slaughter, calves",103.32,,99.36,112.93,88.75,89.75,89.75,91.4,95.42,117.78,102.17,9/8/2021 10:08:45 AM
215554,8/1/1987 12:00:00 AM,"Slaughter, cattle",79.41,,74.18,80.8,68.22,52.28,76.3,85.1,74.89,59.59,79.51,9/8/2021 10:08:45 AM
215555,8/1/1987 12:00:00 AM,Hogs,92.51,,95.03,91.38,96.53,90.59,96.73,95.74,94.18,93.52,90.58,9/8/2021 10:08:45 AM
215556,9/1/1987 12:00:00 AM,"Slaughter, calves",99.28,,106.83,110.13,88.83,89.02,89.02,96.2,88.83,112.34,101.94,9/8/2021 10:08:45 AM
215557,9/1/1987 12:00:00 AM,"Slaughter, cattle",80.79,,80.88,81.8,71.81,65.96,74.16,83.7,71.85,57.1,81.13,9/8/2021 10:08:45 AM
215558,9/1/1987 12:00:00 AM,Hogs,87.05,,89.44,84.52,91.5,86.32,93.11,89.92,91.15,87.91,84.23,9/8/2021 10:08:45 AM
215559,10/1/1987 12:00:00 AM,"Slaughter, calves",102.96,,104.51,106.45,92.86,83.2,83.2,93.3,93.35,109.91,108.51,9/8/2021 10:08:45 AM
215560,10/1/1987 12:00:00 AM,"Slaughter, cattle",81.43,,73.2,79.79,73.84,68.7,74.87,82.2,71.52,58.01,80.57,9/8/2021 10:08:45 AM
215561,10/1/1987 12:00:00 AM,Hogs,77.48,,78.42,76.15,84.3,76.84,85.61,80.59,78.95,78.53,72.98,9/8/2021 10:08:45 AM
215562,11/1/1987 12:00:00 AM,"Slaughter, calves",102.25,,92.04,107.16,89.54,87.4,87.4,87.4,92.8,110.55,105.77,9/8/2021 10:08:45 AM
215563,11/1/1987 12:00:00 AM,"Slaughter, cattle",77.72,,71.43,78.49,69.56,67.86,74.72,84.8,72.37,54.81,78.39,9/8/2021 10:08:45 AM
215564,11/1/1987 12:00:00 AM,Hogs,64.05,,67.36,66.71,69.33,66.23,72.32,68.64,66.64,66.13,61.79,9/8/2021 10:08:45 AM
215565,12/1/1987 12:00:00 AM,"Slaughter, calves",98.81,,95.86,105.43,90.1,88.03,88.03,94.1,87.5,116.56,105.59,9/8/2021 10:08:45 AM
215566,12/1/1987 12:00:00 AM,"Slaughter, cattle",75.25,,73.48,81.37,70.84,73.89,74.85,81.9,72.19,58.6,77.31,9/8/2021 10:08:45 AM
215567,12/1/1987 12:00:00 AM,Hogs,65.71,,68.16,64.27,69.76,67.25,70.32,69.55,67.58,66.72,63.27,9/8/2021 10:08:45 AM
215568,1/1/1988 12:00:00 AM,"Slaughter, calves",103.76,,95.03,106.28,89.96,88.12,88.12,91.1,89.07,112.23,101.21,9/8/2021 10:08:45 AM
215569,1/1/1988 12:00:00 AM,"Slaughter, cattle",78.35,,71.55,77.39,71.3,70.84,74.31,85.1,71.81,60.32,79.4,9/8/2021 10:08:45 AM
215570,1/1/1988 12:00:00 AM,Hogs,60.75,,63.45,61.65,61.73,65.62,60.99,64.1,61.86,62.43,59.37,9/8/2021 10:08:45 AM
215571,2/1/1988 12:00:00 AM,"Slaughter, calves",102.02,,99.61,103.7,90,89.56,89.56,94.05,95.41,118.18,99.13,9/8/2021 10:08:45 AM
215572,2/1/1988 12:00:00 AM,"Slaughter, cattle",76.45,,73.3,77.7,70.92,61.06,76.98,83.18,75.07,58.46,76.53,9/8/2021 10:08:45 AM
215573,2/1/1988 12:00:00 AM,Hogs,64.47,,66.01,65.22,67.26,68.45,66.94,66.95,64.74,65.02,63.74,9/8/2021 10:08:45 AM
215574,3/1/1988 12:00:00 AM,"Slaughter, calves",101.94,,98.58,108.66,91.86,90.25,90.25,94.44,94.39,112.24,99.66,9/8/2021 10:08:45 AM
215575,3/1/1988 12:00:00 AM,"Slaughter, cattle",77.39,,76.08,79.9,71.92,65.49,75.62,82.22,77.09,57.61,78.71,9/8/2021 10:08:45 AM
215576,3/1/1988 12:00:00 AM,Hogs,62.13,,64.88,61.68,66.1,66.06,65.29,65.39,62.46,63.65,60.95,9/8/2021 10:08:45 AM
215577,4/1/1988 12:00:00 AM,"Slaughter, calves",100.81,,98.6,108.17,90.77,88.89,88.89,94.64,90.95,116.22,99.65,9/8/2021 10:08:45 AM
215578,4/1/1988 12:00:00 AM,"Slaughter, cattle",81.85,,76.53,81.52,69.4,62.77,75.91,87.1,77.67,54.17,80.75,9/8/2021 10:08:45 AM
215579,4/1/1988 12:00:00 AM,Hogs,61.07,,63.04,60.66,61.66,68.41,61.89,64.46,62.25,62.86,59.39,9/8/2021 10:08:45 AM
215580,5/1/1988 12:00:00 AM,"Slaughter, calves",102.84,,97.62,105.73,89.34,91.88,91.88,95.98,95.62,108.39,99.76,9/8/2021 10:08:45 AM
215581,5/1/1988 12:00:00 AM,"Slaughter, cattle",79.18,,79.73,82.25,73.14,63.92,76.48,87.07,75.14,65.6,80.8,9/8/2021 10:08:45 AM
215582,5/1/1988 12:00:00 AM,Hogs,66.25,,68.64,65.71,68.24,78.51,67.22,70.11,63.5,68.29,64.44,9/8/2021 10:08:45 AM
215583,6/1/1988 12:00:00 AM,"Slaughter, calves",97.8,,95.32,106.37,88.75,91.75,91.75,101.43,98.06,118.83,95.71,9/8/2021 10:08:45 AM
215584,6/1/1988 12:00:00 AM,"Slaughter, cattle",77.71,,72.4,74.62,72.41,57.49,72.94,84.27,72.09,58.97,78.01,9/8/2021 10:08:45 AM
215585,6/1/1988 12:00:00 AM,Hogs,69.64,,72.96,69.01,73.67,64.2,74.19,74.26,71.44,72.36,67.54,9/8/2021 10:08:45 AM
215586,7/1/1988 12:00:00 AM,"Slaughter, calves",95.33,,96.17,99.38,93.53,92.18,92.18,91.97,96.1,107.04,97.06,9/8/2021 10:08:45 AM
215587,7/1/1988 12:00:00 AM,"Slaughter, cattle",73.67,,73.39,77.63,66.81,65.46,77.17,80.47,72.43,55.52,77.97,9/8/2021 10:08:45 AM
215588,7/1/1988 12:00:00 AM,Hogs,61.9,,65.22,62.45,67.8,64.28,68.15,66.28,66.25,64.41,61.18,9/8/2021 10:08:45 AM
215589,8/1/1988 12:00:00 AM,"Slaughter, calves",98.43,,94.21,99.56,93.07,90.67,90.67,86.46,97.56,111.94,97.68,9/8/2021 10:08:45 AM
215590,8/1/1988 12:00:00 AM,"Slaughter, cattle",73.24,,74.27,74.82,67.21,70,75.8,75.63,72.07,57.36,75.8,9/8/2021 10:08:45 AM
215591,8/1/1988 12:00:00 AM,Hogs,56.97,,61.72,60.28,64.23,63.75,63.71,63.17,62.75,61.73,58.24,9/8/2021 10:08:45 AM
215592,9/1/1988 12:00:00 AM,"Slaughter, calves",98.4,,89.06,104.96,85.21,89.04,89.04,93.04,99.39,106.87,98.44,9/8/2021 10:08:45 AM
215593,9/1/1988 12:00:00 AM,"Slaughter, cattle",74.44,,74.55,75.91,63.58,73.96,72.72,79.21,72.83,53.42,79.3,9/8/2021 10:08:45 AM
215594,9/1/1988 12:00:00 AM,Hogs,59.52,,60.56,57.93,66.08,63.8,63.85,63.7,63.65,62.22,57.05,9/8/2021 10:08:45 AM
215595,10/1/1988 12:00:00 AM,"Slaughter, calves",98.47,,90.02,97.45,91.21,86.77,86.77,92.37,95.86,99.26,96.2,9/8/2021 10:08:45 AM
215596,10/1/1988 12:00:00 AM,"Slaughter, cattle",75.46,,72.31,75.64,71.01,81.24,71.6,79.51,72.01,50.77,77.1,9/8/2021 10:08:45 AM
215597,10/1/1988 12:00:00 AM,Hogs,55.76,,53.9,54.49,61.73,55.63,63.35,59.15,59.18,57.73,53.34,9/8/2021 10:08:45 AM
215598,11/1/1988 12:00:00 AM,"Slaughter, calves",94.85,,92.1,97.8,87.11,80.65,80.65,87.56,90.06,98.37,95.54,9/8/2021 10:08:45 AM
215599,11/1/1988 12:00:00 AM,"Slaughter, cattle",73.84,,70.1,75.94,67.29,75.04,73.74,80.38,72.35,52.24,77.37,9/8/2021 10:08:45 AM
215600,11/1/1988 12:00:00 AM,Hogs,50.3,,56.53,53.24,59.95,55.58,60.51,57.3,57.21,55.98,52.57,9/8/2021 10:08:45 AM
215601,12/1/1988 12:00:00 AM,"Slaughter, calves",99.46,,87.39,100.41,88.58,79.91,79.91,91.45,85.55,106.47,96.24,9/8/2021 10:08:45 AM
215602,12/1/1988 12:00:00 AM,"Slaughter, cattle",73.89,,72.32,74.67,66.5,71.05,70.85,80.99,70.2,53.19,79.49,9/8/2021 10:08:45 AM
215603,12/1/1988 12:00:00 AM,Hogs,49.88,,56.92,53.39,59.16,55.28,58.47,57.97,57.86,56.58,53.36,9/8/2021 10:08:45 AM
215604,1/1/1989 12:00:00 AM,"Slaughter, calves",95.4,,91.84,99.03,89.32,77.93,77.93,92.22,93.67,97.71,92.84,9/8/2021 10:08:45 AM
215605,1/1/1989 12:00:00 AM,"Slaughter, cattle",75.3,,70.43,75.8,65.83,67.18,71.36,79.82,70.05,52.04,76.63,9/8/2021 10:08:45 AM
215606,1/1/1989 12:00:00 AM,Hogs,51.81,,56.82,54.19,58.42,56.71,59.39,57.15,56.87,55.45,53.85,9/8/2021 10:08:45 AM
215607,2/1/1989 12:00:00 AM,"Slaughter, calves",95.38,,93.42,98.38,82.86,83.32,83.32,88.5,89.94,106.38,98.99,9/8/2021 10:08:45 AM
215608,2/1/1989 12:00:00 AM,"Slaughter, cattle",78.55,,70.3,77.83,67.17,67.68,73.57,80.36,74.42,53.54,80.34,9/8/2021 10:08:45 AM
215609,2/1/1989 12:00:00 AM,Hogs,53.64,,59.42,55.32,61.79,60.54,59.44,60.8,60.31,59.17,55.09,9/8/2021 10:08:45 AM
215610,3/1/1989 12:00:00 AM,"Slaughter, calves",93.67,,91.1,102.31,92.17,91.54,91.54,89.88,96.25,108.53,95.98,9/8/2021 10:08:45 AM
215611,3/1/1989 12:00:00 AM,"Slaughter, cattle",77.07,,72.51,80.02,63.85,74.98,75.71,83.33,79.31,51.82,80.12,9/8/2021 10:08:45 AM
215612,3/1/1989 12:00:00 AM,Hogs,50.25,,56.5,51.84,58.39,56.07,64.39,56.52,57.06,60.32,52.71,9/8/2021 10:08:45 AM
215613,4/1/1989 12:00:00 AM,"Slaughter, calves",93.77,,93.09,98.85,91.25,85.28,85.28,91.02,95.14,107.69,93.47,9/8/2021 10:08:45 AM
215614,4/1/1989 12:00:00 AM,"Slaughter, cattle",77.39,,69.62,78.45,70.24,69.13,76.24,84.44,76.5,56.01,77.1,9/8/2021 10:08:45 AM
215615,4/1/1989 12:00:00 AM,Hogs,50.69,,55.11,50.48,56.32,59.82,55.55,55.97,56.5,59.87,50.21,9/8/2021 10:08:45 AM
215616,5/1/1989 12:00:00 AM,"Slaughter, calves",95.54,,94.32,96.28,92.12,93.25,93.25,92.7,97.58,116.27,97.32,9/8/2021 10:08:45 AM
215617,5/1/1989 12:00:00 AM,"Slaughter, cattle",77.2,,70.79,77.23,68.91,70.29,76.18,86.15,73,53.55,77.19,9/8/2021 10:08:45 AM
215618,5/1/1989 12:00:00 AM,Hogs,56.95,,60.3,54.94,62.76,65.68,60.76,61.55,61.74,61.69,54.5,9/8/2021 10:08:45 AM
215619,6/1/1989 12:00:00 AM,"Slaughter, calves",95.54,,88.94,103.56,89.82,86.25,86.25,92.89,95.71,121.32,95.29,9/8/2021 10:08:45 AM
215620,6/1/1989 12:00:00 AM,"Slaughter, cattle",74.46,,65.2,78.02,69.61,68.67,75,85.56,75.68,54.16,76.09,9/8/2021 10:08:45 AM
215621,6/1/1989 12:00:00 AM,Hogs,63.8,,66.77,61.52,68.8,71.6,67.95,67.67,67.66,68.26,60.95,9/8/2021 10:08:45 AM
215622,7/1/1989 12:00:00 AM,"Slaughter, calves",93.58,,92.19,101.58,94.18,87.44,87.44,95.96,98,108.22,93.49,9/8/2021 10:08:45 AM
215623,7/1/1989 12:00:00 AM,"Slaughter, cattle",76.21,,68.35,79.49,70.93,82,78.93,83.2,73,61.49,77.53,9/8/2021 10:08:45 AM
