Province/territory,Region,"30-day readmission for mood disorders, risk-adjusted rate (per 100), 2018–2019","95% confidence interval,
2018–2019"
Quebec,Nunavik Region,—,—
Quebec,Terres-Cries-de-la-Baie-James Region,—,—
Quebec,Total,11.9,(11.2–12.7)*
Ontario,Erie St. Clair LHIN,8.2,(6.7–10.0)*
Ontario,South West LHIN,10.3,(8.7–12.2)
Ontario,Waterloo Wellington LHIN,11.1,(9.2–13.4)
Ontario,Hamilton Niagara Haldimand Brant LHIN,12.1,(10.7–13.6)
Ontario,Central West LHIN,11.5,(9.5–13.8)
Ontario,Mississauga Halton LHIN,11.4,(9.7–13.4)
Ontario,Toronto Central LHIN,12.5,(11.0–14.1)
Ontario,Central LHIN,12.7,(11.2–14.3)*
Ontario,Central East LHIN,12.3,(11.0–13.7)
Ontario,South East LHIN,9.7,(7.2–12.7)
Ontario,Champlain LHIN,10.9,(9.3–12.6)
Ontario,North Simcoe Muskoka LHIN,10.4,(8.6–12.5)
Ontario,North East LHIN,13.1,(11.5–14.8)*
Ontario,North West LHIN,12.5,(9.7–15.8)
Ontario,Total,11.6,(11.2–12.1)*
Manitoba,Winnipeg Regional Health Authority,8.5,(6.5–11.0)*
Manitoba,Prairie Mountain Health,11.8,(7.7–17.3)
Manitoba,Interlake–Eastern Regional Health Authority,9.5,(4.5–17.4)
Manitoba,Northern Health Region,8.7,(4.4–15.6)
Manitoba,Southern Health — Santé Sud,7,(2.2–16.3)
Manitoba,Total,9.2,(7.5–11.0)*
Saskatchewan,Sun Country Health Region,5.2,(1.4–13.4)
Saskatchewan,Five Hills Health Region,15,(7.7–26.2)
Saskatchewan,Cypress Health Region,6.9,(1.8–17.6)
Saskatchewan,Regina Qu’Appelle Health Region,7.1,(5.0–9.8)*
Saskatchewan,Sunrise Health Region,9,(3.6–18.6)
Saskatchewan,Saskatoon Health Region,9.1,(6.6–12.1)
Saskatchewan,Heartland Health Region,—,—
Saskatchewan,Kelsey Trail Health Region,9.8,(3.6–21.3)
Saskatchewan,Prince Albert Parkland Health Region,9.3,(4.9–15.9)
Saskatchewan,Prairie North Health Region,5.7,(2.1–12.4)
Saskatchewan,Mamawetan Churchill River Health Region,11.8,(4.7–24.3)
Saskatchewan,Keewatin Yatthé Health Region,—,—
Saskatchewan,Athabasca Health Authority,—,—
Saskatchewan,Total,8.4,(7.1–9.8)*
Alberta,South Zone,8.7,(6.4–11.7)
Alberta,Calgary Zone,8,(6.4–9.8)*
Alberta,Central Zone,11.2,(9.1–13.7)
Alberta,Edmonton Zone,7.6,(6.1–9.4)*
Alberta,North Zone,11,(8.6–13.9)
Alberta,Total,9.2,(8.3–10.1)*
British Columbia,East Kootenay HSDA,13.5,(7.9–21.6)
British Columbia,Kootenay–Boundary HSDA,11.9,(6.8–19.4)
British Columbia,Okanagan HSDA,12.4,(10.1–15.0)
British Columbia,Thompson/Cariboo HSDA,12.5,(9.4–16.3)
British Columbia,Fraser East HSDA,9.2,(6.8–12.1)
British Columbia,Fraser North HSDA,10,(8.1–12.3)
British Columbia,Fraser South HSDA,10.8,(8.7–13.2)
British Columbia,Richmond HSDA,15.1,(9.6–22.7)
British Columbia,Vancouver HSDA,13.4,(11.0–16.1)
British Columbia,North Shore/Coast Garibaldi HSDA,11.1,(7.9–15.2)
British Columbia,South Vancouver Island HSDA,9.5,(6.8–13.0)
British Columbia,Central Vancouver Island HSDA,13,(9.7–17.0)
British Columbia,North Vancouver Island HSDA,14.4,(8.1–23.8)
British Columbia,Northwest HSDA,11,(6.9–16.6)
British Columbia,Northern Interior HSDA,9.4,(6.6–13.0)
British Columbia,Northeast HSDA,6.9,(3.2–13.1)
British Columbia,Total,11.3,(10.5–12.1)
Yukon,Yukon,12.1,(6.6–20.3)
Yukon,Total,12.1,(6.6–20.3)
Northwest Territories,Northwest Territories,8.2,(3.5–16.2)
Northwest Territories,Total,8.2,(3.5–16.2)
Nunavut,Nunavut,—,—
Nunavut,Total,—,—
Canada,Total,11.1,n/a
